Sl.No,Skill set,google_palm_response,google_palm_response_cleaned,Experience,google_palm_response_experience
10,"React JS,Mongo DB,Express JS,Node js,Rest API,Redux,Router,Material UI,GitHub,Python,Java Scrip","```python
skills = [
    ""React JS"",
    ""MongoDB"",
    ""Express JS"",
    ""Node.js"",
    ""REST API"",
    ""Redux"",
    ""Router"",
    ""Material UI"",
    ""GitHub"",
    ""Python"",
    ""JavaScript"",
]
```","['react js', 'mongodb', 'express js', 'node.js', 'rest api', 'redux', 'router', 'material ui', 'github', 'python', 'javascript']",,0
11,"NodeJS,ReactJS,ExperssJS,MongoDb,Mongoose,Data Structure,Redux,MUI,Bootstrap,HTML5,Git & GitHub,SQL,AWS,Nginx,REST API,Firebase,Postman,JWT,","```python
skills = [
    ""NodeJS"",
    ""ReactJS"",
    ""ExpressJS"",
    ""MongoDB"",
    ""Mongoose"",
    ""Data Structures"",
    ""Redux"",
    ""MUI"",
    ""Bootstrap"",
    ""HTML5"",
    ""Git & GitHub"",
    ""SQL"",
    ""AWS"",
    ""Nginx"",
    ""REST API"",
    ""Firebase"",
    ""Postman"",
    ""JWT"",
]
```","['nodejs', 'reactjs', 'expressjs', 'mongodb', 'mongoose', 'data structures', 'redux', 'mui', 'bootstrap', 'html5', 'git', 'github', 'sql', 'aws', 'nginx', 'rest api', 'firebase', 'postman', 'jwt']",completed 8Months of trainee in Prototype.currently not working,0.75
12,"Programming Languages: JavaScript, HTML/CSSTech Stack: Front-End: ReactJS, NextJS, TypeScriptTech Stack: Back-End: NodeJS, ExpressJS, Mongo DB,SQL","```python
skills = [
    ""JavaScript"",
    ""HTML/CSS"",
    ""ReactJS"",
    ""NextJS"",
    ""TypeScript"",
    ""NodeJS"",
    ""ExpressJS"",
    ""MongoDB"",
    ""SQL"",
]
```","['javascript', 'html/css', 'reactjs', 'nextjs', 'typescript', 'nodejs', 'expressjs', 'mongodb', 'sql']",completed 8Months of intern and1 yr of experience in techo company.currently working,1.8
13,ReactJs | Angular | MongodbExpress | NodeJs | Github |HTML | CSS | API,"```python
skills = [""ReactJs"", ""Angular"", ""MongoDB"", ""Express"", ""NodeJs"", ""Github"", ""HTML"", ""CSS"", ""API""]
```","['reactjs', 'angular', 'mongodb', 'express', 'nodejs', 'github', 'html', 'css', 'api']","Fresher,Completed 5Months Training in MERN",0.1
14,"Database -MongoDB,Frameworks -React.js with Redux Toolkit, Express.js,Mongoose, Angular.js,UI Technologies- HTML5, CSS3, JavaScript, Bootstrap,APIs and Tools- RestAPI, AJAX(Axios, Fetch API), Postman,Programming -Javascript, TypeScript, C++,Server- Node.js,Operating System -Windows 7/8/8.1/10, Ubuntu.","```python
skills = [
    ""Database: MongoDB"",
    ""Frameworks: React.js with Redux Toolkit, Express.js, Mongoose, Angular.js"",
    ""UI Technologies: HTML5, CSS3, JavaScript, Bootstrap"",
    ""APIs and Tools: RestAPI, AJAX(Axios, Fetch API), Postman"",
    ""Programming: Javascript, TypeScript, C++"",
    ""Server: Node.js"",
    ""Operating System: Windows 7/8/8.1/10, Ubuntu""
]
```","['database: mongodb', 'frameworks: react.js with redux toolkit', 'express.js', 'mongoose', 'angular.js', 'ui technologies: html5', 'css3', 'javascript', 'bootstrap', 'apis and tools: restapi', 'ajax(axios', 'fetch api)', 'postman', 'programming: javascript', 'typescript', 'c++', 'server: node.js', 'operating system: windows 7/8/8.1/10', 'ubuntu']","Fresher,Completed 6Months intern in Sterio info tech.",0.5
15,"JavaScriptNode JsExpress JsReact JsReduxMongoDBHTMLCSSBootstrapPostmanFirebaseAWSNginxPostgreSQLGIT, GITHUBJWTFigmaData structure","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""Express.js"",
    ""React.js"",
    ""Redux"",
    ""MongoDB"",
    ""HTML"",
    ""CSS"",
    ""Bootstrap"",
    ""Postman"",
    ""Firebase"",
    ""AWS"",
    ""Nginx"",
    ""PostgreSQL"",
    ""GIT"",
    ""GitHub"",
    ""JWT"",
    ""Figma"",
    ""Data structures"",
]
```","['javascript', 'node.js', 'express.js', 'react.js', 'redux', 'mongodb', 'html', 'css', 'bootstrap', 'postman', 'firebase', 'aws', 'nginx', 'postgresql', 'git', 'github', 'jwt', 'figma', 'data structures']","Fresher,6Months of Training, Currently Working As intern in prototype",0.5
16,"JavaScript,Node Js,Express Js,Mongo Db,React Js,EJS,HTML,CSSBootstrap,TailWind CSS,AWS,Nginx,Basic of C programing,Basic of C++ programing,Basic of Java programing,Basic of Python","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""Express.js"",
    ""MongoDB"",
    ""React.js"",
    ""EJS"",
    ""HTML"",
    ""CSS"",
    ""Bootstrap"",
    ""Tailwind CSS"",
    ""AWS"",
    ""Nginx"",
    ""C programming"",
    ""C++ programming"",
    ""Java programming"",
    ""Python programming"",
]
```","['javascript', 'node.js', 'express.js', 'mongodb', 'react.js', 'ejs', 'html', 'css', 'bootstrap', 'tailwind css', 'aws', 'nginx', 'c programming', 'c++ programming', 'java programming', 'python programming']",2yrs as stock manager in banglore,2.0
17,"HTML5 & CSS3,Bootstrap 5, Java Script ES6,React js,Node js & Exp js, Python,Mongo DB & SQL, Desigining Thinking,UX,Restful ApIs,SEO,Agile & Scrum.","```python
skills = [
    ""HTML5 & CSS3"",
    ""Bootstrap 5"",
    ""JavaScript ES6"",
    ""React.js"",
    ""Node.js & Express.js"",
    ""Python"",
    ""MongoDB & SQL"",
    ""Designing Thinking"",
    ""UX"",
    ""RESTful APIs"",
    ""SEO"",
    ""Agile & Scrum"",
]
```","['html5', 'css3', 'bootstrap 5', 'javascript es6', 'react.js', 'node.js', 'express.js', 'python', 'mongodb', 'sql', 'designing thinking', 'ux', 'restful apis', 'seo', 'agile', 'scrum']",9Months,0.75
18,"HTML ,CSS ,JAVASCRIPT ,REACT JS,NODE JS ,EXPRESS JS, MONGODB,MYSQL ,MICROSERVICES ,SWAGGER,AWS-LAMBDA","```python
['html', 'css', 'javascript', 'react js', 'node js', 'express js', 'mongodb', 'mysql', 'microservices', 'swagger', 'aws-lambda']
```","['html', 'css', 'javascript', 'react js', 'node js', 'express js', 'mongodb', 'mysql', 'microservices', 'swagger', 'aws-lambda']",6Months Intern Completed,0.5
19,"React JS,JavaScript ES6,BOOTSTRAP,HTML - CSS3,UTILIZING REACT LIBRARIESMATERIAL UI,UI KIT GITHUB,REDUX,NODE JS,MONGO DB,MYSQL,EXPRESS JS,JWTTOKEN.","```python
skills = [
    ""React JS"",
    ""JavaScript ES6"",
    ""Bootstrap"",
    ""HTML - CSS3"",
    ""Utilizing React libraries (Material UI, UI Kit Github)"",
    ""Redux"",
    ""Node JS"",
    ""MongoDB"",
    ""MySQL"",
    ""Express JS"",
    ""JWT Token"",
]
```","['react js', 'javascript es6', 'bootstrap', 'html - css3', 'utilizing react libraries (material ui', 'ui kit github)', 'redux', 'node js', 'mongodb', 'mysql', 'express js', 'jwt token']",,0
20,"Programming language -- Java, Javascript,Python.Frontend --React js.Backend--Node js.Good hands-on HTML, CSS(SCSS).Databases -- MySQL, MongoDb.Bootstrap,MaterialUI to design the web page,OOPS","```python
skills = [
    ""Programming language: Java, JavaScript, Python"",
    ""Frontend: React js"",
    ""Backend: Node js"",
    ""HTML, CSS(SCSS)"",
    ""Databases: MySQL, MongoDb"",
    ""Bootstrap, MaterialUI"",
    ""OOPS"",
]
```","['programming language: java', 'javascript', 'python', 'frontend: react js', 'backend: node js', 'html', 'css(scss)', 'databases: mysql', 'mongodb', 'bootstrap', 'materialui', 'oops']",Fresher for IT Sector 6Months of intern yet to Complete,0.5
21,"React JS,Node JS,JavaScript,Next JS,Git,MongoDB","```python
skills = [""React JS"", ""Node JS"", ""JavaScript"", ""Next JS"", ""Git"", ""MongoDB""]
```","['react js', 'node js', 'javascript', 'next js', 'git', 'mongodb']",8 months currently working,0.75
22,"REACTJS, MONGODB, NODEJS,EXPRESSJS, GIT ,DATA STRUCTURES,AWS EC2, TYPESCRIPT, REST ,API, MYSQL,FIREBASE, FIGMA, MATERIAL UI, NGINX,PYTHON, JAVASCRIPT, MONGOOSE,SOCKET IO, MICROSERVICE.","```python
skills = [
    ""ReactJS"",
    ""MongoDB"",
    ""NodeJS"",
    ""ExpressJS"",
    ""Git"",
    ""Data Structures"",
    ""AWS EC2"",
    ""TypeScript"",
    ""REST API"",
    ""MySQL"",
    ""Firebase"",
    ""Figma"",
    ""Material UI"",
    ""NGINX"",
    ""Python"",
    ""JavaScript"",
    ""Mongoose"",
    ""Socket.IO"",
    ""Microservices"",
]
```","['reactjs', 'mongodb', 'nodejs', 'expressjs', 'git', 'data structures', 'aws ec2', 'typescript', 'rest api', 'mysql', 'firebase', 'figma', 'material ui', 'nginx', 'python', 'javascript', 'mongoose', 'socket.io', 'microservices']",9Months,0.75
23,"HTML , CSS , JavaScript , ReactJs ,Redux , UI/UX ,Git , GitHub , API ,JSON , Tailwind CSS , Chakra UI , MUI, Bootstrap , DSA , SEO.","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""ReactJS"",
    ""Redux"",
    ""UI/UX"",
    ""Git"",
    ""GitHub"",
    ""API"",
    ""JSON"",
    ""Tailwind CSS"",
    ""Chakra UI"",
    ""MUI"",
    ""Bootstrap"",
    ""DSA"",
    ""SEO"",
]
```","['html', 'css', 'javascript', 'reactjs', 'redux', 'ui/ux', 'git', 'github', 'api', 'json', 'tailwind css', 'chakra ui', 'mui', 'bootstrap', 'dsa', 'seo']",1Yrs,1.0
24,DEVELOPMENT (• React Js• Hooks• Redux• webpack• Redux thunk• Sass• Css• Node Js• Express Js• Jwt• Bootstrap• bcrypt)DATABASES(• MongoDBDEVOPS• Render• Cyclic)DESIGN TOOL(• FigmaEDUCA),"```python
skills = [
    ""React Js"",
    ""Hooks"",
    ""Redux"",
    ""webpack"",
    ""Redux thunk"",
    ""Sass"",
    ""Css"",
    ""Node Js"",
    ""Express Js"",
    ""Jwt"",
    ""Bootstrap"",
    ""bcrypt"",
    ""MongoDB"",
    ""Render"",
    ""Cyclic"",
    ""Figma""
]
```","['react js', 'hooks', 'redux', 'webpack', 'redux thunk', 'sass', 'css', 'node js', 'express js', 'jwt', 'bootstrap', 'bcrypt', 'mongodb', 'render', 'cyclic', 'figma']",1yrs,1.0
25,"React js,Tailwind, css,Next.js,Typescript,Javascript,Bootstrap,Vuejs,Express js,Python.","```python
['react js', 'tailwind', 'css', 'next.js', 'typescript', 'javascript', 'bootstrap', 'vuejs', 'express js', 'python']
```","['react js', 'tailwind', 'css', 'next.js', 'typescript', 'javascript', 'bootstrap', 'vuejs', 'express js', 'python']",1yrs,1.0
26,"CSS,HTML,Java Script,Typescript,&Python,JSX,Java Script Fundamentals+Es6, React js,Node js,Express js,mongo DB,Oracle SQL,&React Native,NPM,Yarn,Redux,GitHub&Gitlab Respiratory,","```python
skills = [
    ""CSS"",
    ""HTML"",
    ""JavaScript"",
    ""TypeScript"",
    ""Python"",
    ""JSX"",
    ""JavaScript Fundamentals + ES6"",
    ""React.js"",
    ""Node.js"",
    ""Express.js"",
    ""MongoDB"",
    ""Oracle SQL"",
    ""React Native"",
    ""NPM"",
    ""Yarn"",
    ""Redux"",
    ""GitHub"",
    ""Gitlab"",
    ""Respiratory"",
]
```","['css', 'html', 'javascript', 'typescript', 'python', 'jsx', 'javascript fundamentals + es6', 'react.js', 'node.js', 'express.js', 'mongodb', 'oracle sql', 'react native', 'npm', 'yarn', 'redux', 'github', 'gitlab', 'respiratory']",1.5yrs,1.5
27,"JAVA, C,MySQL,HTML, CSS, JS, NodeJS,JAVA, Git,Netbeans,FIgma,","```python
skills = [
    ""JAVA"",
    ""C"",
    ""MySQL"",
    ""HTML"",
    ""CSS"",
    ""JS"",
    ""NodeJS"",
    ""JAVA"",
    ""Git"",
    ""Netbeans"",
    ""FIgma"",
]
```","['java', 'c', 'mysql', 'html', 'css', 'js', 'nodejs', 'java', 'git', 'netbeans', 'figma']","Fresher,intern-6months",0.5
28,"React JS, Node JS,Express JS, Mongo DB,ExpressJS,NPM, GIT, Heroku, Web Sockets,Socket.io, ES6, JavaScript, Bootstrap, CSS3, HTML5, Ajax JSON.","```python
skills = [
    ""React JS"",
    ""Node JS"",
    ""Express JS"",
    ""MongoDB"",
    ""ExpressJS"",
    ""NPM"",
    ""GIT"",
    ""Heroku"",
    ""WebSockets"",
    ""Socket.io"",
    ""ES6"",
    ""JavaScript"",
    ""Bootstrap"",
    ""CSS3"",
    ""HTML5"",
    ""Ajax"",
    ""JSON"",
]
```","['react js', 'node js', 'express js', 'mongodb', 'expressjs', 'npm', 'git', 'heroku', 'websockets', 'socket.io', 'es6', 'javascript', 'bootstrap', 'css3', 'html5', 'ajax', 'json']",1.3yrs,1.3
29,HTML• CSS • BootStrapC#• C • Java • JavaScriptJQuery• Rest API •SQLLIBRARIES/FRAMEWORKSReact • Node.js • Express.js •Asp.Net • Jquery • ReduxTOOLS/PLATFORMSGit • VS code • Atom • NPMPostman • MongoDBMISCELLANEOUSShell • LaTeX • Tableau • MicrosoftOffice • Firebase,"```python
skills = [
    ""HTML"",
    ""CSS"",
    ""Bootstrap"",
    ""C#"",
    ""C"",
    ""Java"",
    ""JavaScript"",
    ""jQuery"",
    ""Rest API"",
    ""SQL"",
    ""React"",
    ""Node.js"",
    ""Express.js"",
    ""Asp.Net"",
    ""Jquery"",
    ""Redux"",
    ""Git"",
    ""VS code"",
    ""Atom"",
    ""NPM"",
    ""Postman"",
    ""MongoDB"",
    ""Shell"",
    ""LaTeX"",
    ""Tableau"",
    ""Microsoft Office"",
    ""Firebase"",
]
```","['html', 'css', 'bootstrap', 'c#', 'c', 'java', 'javascript', 'jquery', 'rest api', 'sql', 'react', 'node.js', 'express.js', 'asp.net', 'jquery', 'redux', 'git', 'vs code', 'atom', 'npm', 'postman', 'mongodb', 'shell', 'latex', 'tableau', 'microsoft office', 'firebase']",1.7yrs,1.7
30,"HTML5,CSS3,Bootstrap,Javascript,Node js,React js,Mongo DB,C,Core Java,ECMA Script,Data Structure","```python
skills = [
    ""HTML5"",
    ""CSS3"",
    ""Bootstrap"",
    ""Javascript"",
    ""Node.js"",
    ""React.js"",
    ""MongoDB"",
    ""C"",
    ""Core Java"",
    ""ECMAScript"",
    ""Data Structures"",
]
```","['html5', 'css3', 'bootstrap', 'javascript', 'node.js', 'react.js', 'mongodb', 'c', 'core java', 'ecmascript', 'data structures']",,0
31,"BACKEND :NODEJS ( EXPRESS JS )FRONTEND :HTML, CSS, JS, REACT JS,NEXT JSDATABASE :MongoDB ,MYSQLVERSION CONTROL : GITORM :PRISMA ,SEQUELIZEMONGOOSECODE EDITOR : VSCODEPROTOTYPE : FIGMA","```python
backend_skills = [""nodejs"", ""expressjs""]
frontend_skills = [""html"", ""css"", ""js"", ""reactjs"", ""nextjs""]
database_skills = [""mongodb"", ""mysql""]
version_control_skills = [""git""]
orm_skills = [""prisma"", ""sequelize"", ""mongoose""]
code_editor_skills = [""vscode""]
prototype_skills = [""figma""]

skills = [backend_skills, frontend_skills, database_skills, version_control_skills, orm_skills, code_editor_skills, prototype_skills]
```","['nodejs', 'expressjs']",2yrs in Full Stack,2.0
32,"html,Css,Javascript,Nodejs,Mysql,Mongodb,Mongoose,Reactjs,Expressjs","```python
['html', 'css', 'javascript', 'nodejs', 'mysql', 'mongodb', 'mongoose', 'reactjs', 'expressjs']
```","['html', 'css', 'javascript', 'nodejs', 'mysql', 'mongodb', 'mongoose', 'reactjs', 'expressjs']",,0
33,"HTML, CSS, JavaScript, React JS, Bootstrap, ReactNative,NativeFULL STACK:MERN (MongoDB, Express JS, React JS, Node JS)","```python
skills = [
    ""HTML"",
    ""CSS"",
    ""JavaScript"",
    ""React JS"",
    ""Bootstrap"",
    ""ReactNative"",
    ""Native"",
    ""MongoDB"",
    ""Express JS"",
    ""React JS"",
    ""Node JS"",
]
```","['html', 'css', 'javascript', 'react js', 'bootstrap', 'reactnative', 'native', 'mongodb', 'express js', 'react js', 'node js']",Intern for 6months Currently working.,0.5
34,JAVA• JAVASCRIPT• REACT JS• MONGODB• HTML5• CSS3• SQL,"```python
skills = [
    ""Java"",
    ""JavaScript"",
    ""React JS"",
    ""MongoDB"",
    ""HTML5"",
    ""CSS3"",
    ""SQL"",
]
```","['java', 'javascript', 'react js', 'mongodb', 'html5', 'css3', 'sql']",Currently learning skills,0.0
35,"JavaScript,Express-JSNode-JS,React-JS,Redux,MongoDB,MySQL,HTML,CSS/Sass,Postgresql,Handlebars ,View-engine,Material, UIGitAWS,Nginx,Figma,Firebase,JWT,Rest API,Postman.","```python
skills = [
    ""JavaScript"",
    ""Express.JS"",
    ""Node.JS"",
    ""React.JS"",
    ""Redux"",
    ""MongoDB"",
    ""MySQL"",
    ""HTML"",
    ""CSS/Sass"",
    ""PostgreSQL"",
    ""Handlebars"",
    ""View engine"",
    ""Material UI"",
    ""Git"",
    ""AWS"",
    ""Nginx"",
    ""Figma"",
    ""Firebase"",
    ""JWT"",
    ""REST API"",
    ""Postman"",
]
```","['javascript', 'express.js', 'node.js', 'react.js', 'redux', 'mongodb', 'mysql', 'html', 'css/sass', 'postgresql', 'handlebars', 'view engine', 'material ui', 'git', 'aws', 'nginx', 'figma', 'firebase', 'jwt', 'rest api', 'postman']",Intern-1yrs,1.0
36,• MongoDB • Express • React • Node • Redux • Mysql • Git • Figma,"```python
skills = [""MongoDB"", ""Express"", ""React"", ""Node"", ""Redux"", ""Mysql"", ""Git"", ""Figma""]
```","['mongodb', 'express', 'react', 'node', 'redux', 'mysql', 'git', 'figma']","Fresher,Currently Working as Intern-8 Months",0.5
37,"C, C++,Html,Css,Bootstrap,Tailwind,Javascript,Reactjs,Nodejs,Mongodb(Basics),Sql(Basics)Tools :Virtual Studio Code(Web)","```python
skills = [""C"", ""C++"", ""HTML"", ""CSS"", ""Bootstrap"", ""Tailwind"", ""JavaScript"", ""ReactJS"", ""NodeJS"", ""MongoDB (basics)"", ""SQL (basics)""]
```","['c', 'c++', 'html', 'css', 'bootstrap', 'tailwind', 'javascript', 'reactjs', 'nodejs', 'mongodb (basics)', 'sql (basics)']","Fresher,Currently Working as Intern-6 Months",0.5
38," Android Development (Flutter) Web Development Stacks ( MEAN and MERN) Database Technology ( MySQL, MongoDB) JavaScript & JS Frameworks ( Angular, React) Basic UI/UX Design ( Figma ) Back End Codes ( Node.JS)","```python
skills = [
    ""Android Development (Flutter)"",
    ""Web Development Stacks (MEAN and MERN)"",
    ""Database Technology (MySQL, MongoDB)"",
    ""JavaScript & JS Frameworks (Angular, React)"",
    ""Basic UI/UX Design (Figma)"",
    ""Back End Codes (Node.JS)""
]
```","['android development (flutter)', 'web development stacks (mean and mern)', 'database technology (mysql', 'mongodb)', 'javascript', 'js frameworks (angular', 'react)', 'basic ui/ux design (figma)', 'back end codes (node.js)']","3yrs,1.5yrs on MERN",4.5
39,"Front End:HTML,CSS,Jquery and Javascript;Database:MYSQL;BackEnd:PHP,Nodejs;Frameworks:Bootstrap, Laravel and Handlebarsjs","```python
skills = [""HTML"", ""CSS"", ""JQuery"", ""JavaScript"", ""MySQL"", ""PHP"", ""Node.js"", ""Bootstrap"", ""Laravel"", ""Handlebars.js""]
```","['html', 'css', 'jquery', 'javascript', 'mysql', 'php', 'node.js', 'bootstrap', 'laravel', 'handlebars.js']",2.8yrs,2.8
40,"Java Script,Node.js,React.js,Express.js,MongoDB,Postgresql,Redux-ToolkitGit & GitHubRest ,APIs,Nginx,HTML5,CSS3,Bootstrap 5,Figma,Photoshop","```python
skills = [
    ""JavaScript"",
    ""Node.js"",
    ""React.js"",
    ""Express.js"",
    ""MongoDB"",
    ""PostgreSQL"",
    ""Redux Toolkit"",
    ""Git & GitHub"",
    ""REST APIs"",
    ""Nginx"",
    ""HTML5"",
    ""CSS3"",
    ""Bootstrap 5"",
    ""Figma"",
    ""Photoshop"",
]
```","['javascript', 'node.js', 'react.js', 'express.js', 'mongodb', 'postgresql', 'redux toolkit', 'git', 'github', 'rest apis', 'nginx', 'html5', 'css3', 'bootstrap 5', 'figma', 'photoshop']","Fresher,Intern 10 months",0.1
